Emp34Id,EmpLastName,EmpFirstName,EmpProcessLevelDesc,EmpLegCoid,EmpLocationDesc,facility_city,facility_state,facility_zip,EmpDepartment,EmpDepartmentName,EmpPositionDesc,MgrName,MgrTitle,Mgr34Id,EmpAnnivDate,EmpPositionIsSuper,EmpRNExperienceDate,Availability
742ec4ef-20f8-420b-ae7e-2bfcffe55cae,Heaney,Bg-lynnezee,HCA Florida Pasadena Hospital,26536,HCA Florida Pasadena Hospital,Petersburg,FL,33707,75410,Respiratory Therapy,Supv Respiratory Therapy,"Jahbari, Deckow",Dir Critical Care,9d39e232-d133-4ce4-bf6d-276cc5a7e364,2012-10-15,True,,Available
509d3309-ebad-4a78-b0e0-e61824802ce0,Corwin,Amarda,Lawson Group - Officers,27610,Mission Hospital,Ashville,NC,28801,27610,Mission Hospital,CEO Mission Hospital,"Derek, Kling",Div President North Carolina,65aecf22-f6fd-490d-9a2b-52c02e001790,2013-09-09,True,,Unavailable
35616aa4-c019-494a-bae1-fc749d87246b,Schultz,Jahmei,Swedish Medical Center,27100,Swedish Medical Center,Englewood,CO,80110,90217,Finance,Controller,"Steven, Parisian",CFO,d72a0182-66af-4f1b-8e89-b2e26c361f78,2008-03-10,True,,Deployed
a8974b25-7330-4b16-b6b0-1e512cc93815,Lynch,Artur,Parkridge Medical Center,34224,Parkridge Medical Center,Chattanooga,TN,37404,78338,Employee Health,Mgr EE Health,,Mkt VP HR,,2006-08-28,True,1994-09-12,On Call
10ae639a-e858-42fa-909f-60e8abba0787,Torphy,Tamand,Lawson IT&S,26249,1100 MLK (Capitol View),Nashville,TN,37203,650D2,HT IEO & Shared Services,Mgr Integration,"Kasmin, Hauck",Dir Integration Svcs,fb123e32-71a8-42a2-a46b-608b127e719e,2000-02-14,True,,Available
43bca7a9-19cc-4117-83b7-49a09950b710,Buckridge,Omowunmi,Capital Supply Chain,7848,LewisGale Medical Center,Richmond,VA,23236,87404,Lewis Gale Med Ctr,Dir SC Ops E,"Mcewen, Wiegand",COO SC CAD,9156c06b-01a5-42cd-96ed-4610dacc3474,1990-04-30,True,,Available
4eb9bf4b-0c79-444e-aa46-c177c1d0f686,Schneider,Keanu,Medical City Green Oaks Hospit,7126,Medical City Green Oaks Hospit,Dallas,TX,75251,91713,Quality,VP Operations,"Changyou, Hoppe",CEO,64f441d2-cf5f-4694-b15f-8ce4be9dd343,1993-07-08,True,2017-06-20,Available
c1e34a78-7914-4886-9e22-4c95358b0637,Bailey,Jerrylynn,Lawson IT&S,14203,Corporate Campus(5950 only),Nashville,TN,37202,70150,IS Finance & Admin,Controller/AVP,"Earving, Christiansen",CFO/VP,5f3ddebd-fee2-47d2-9de1-19ffcd427f3a,1998-09-21,True,,Deployed
53feb224-0b62-4b02-a649-c35c65c7fa45,Robel,Okoyo,HCA Florida Citrus Hospital,26670,HCA Florida Citrus Hospital,Inverness,FL,33763,90210,Accounting,Controller,"Maysen, Greenholt",CFO,73b5c666-5712-42d2-8a46-512eb39d45b3,1997-08-13,True,,On Call
37657990-3e14-4512-9bbd-c80845e2a504,Treutel,Kee'von,Lawson IT&S,14203,Corporate Campus(5950 only),Nashville,TN,37202,71250,Network Services,Dir UC Implementation,"Juaquina, Beier",AVP Enterprise Network Service,2b212b55-a142-4afe-8dc7-cdad343bc32a,1997-04-21,True,,Deployed
be4c3c40-fe11-49d3-a7e4-44f21b180655,Rodriguez,Birger,Gulf Coast Division Office,38325,HCA Houston Kingwood,Sugarland,TX,77478,90070,Administration,VP Business Development,"Desiree, Hudson",CEO,d56732cd-2e1d-4162-b033-c7ef8d15ec11,2012-05-29,True,,Available
